job_category,city1,city2,city3,city4,city5,city6,city7,city8,city9,city10
Accounting/Finance,"New York, NY","Chicago, IL","Atlanta, GA","Houston, TX","San Francisco, CA","Los Angeles, CA","Dallas, TX","Boston, MA","Washington, DC","Austin, TX"
Administrative,"New York, NY","Houston, TX","Chicago, IL","Los Angeles, CA","Dallas, TX","Atlanta, GA","Boston, MA","San Francisco, CA","Washington, DC","Phoenix, AZ"
Analyst,"New York, NY","Chicago, IL","Washington, DC","San Francisco, CA","Atlanta, GA","Boston, MA","Houston, TX","Tampa, FL","Dallas, TX","Los Angeles, CA"
Architecture/Drafting,"Dallas, TX","Houston, TX","New York, NY","Chicago, IL","Atlanta, GA","Denver, CO","Portland, OR","Charlotte, NC","Los Angeles, CA","Orlando, FL"
Art/Design/Entertainment,"New York, NY","San Francisco, CA","Chicago, IL","Los Angeles, CA","Washington, DC","Atlanta, GA","Boston, MA","Austin, TX","Dallas, TX","Seattle, WA"
Banking/Loan/Insurance,"New York, NY","Houston, TX","Chicago, IL","Dallas, TX","Los Angeles, CA","San Francisco, CA","Atlanta, GA","Phoenix, AZ","Austin, TX","Tampa, FL"
Beauty/Wellness,"San Antonio, TX","Houston, TX","Chicago, IL","Las Vegas, NV","Phoenix, AZ","Miami, FL","New York, NY","Orlando, FL","Jacksonville, FL","Austin, TX"
Business Development/Consulting,"New York, NY","Chicago, IL","Pittsburgh, PA","Arlington, VA","Washington, DC","Atlanta, GA","Los Angeles, CA","Austin, TX","Houston, TX","San Francisco, CA"
Education,"Houston, TX","New York, NY","Chicago, IL","Los Angeles, CA","Boston, MA","Phoenix, AZ","Raleigh, NC","Denver, CO","Cincinnati, OH","Indianapolis, IN"
Engineering (Non-software),"New York, NY","San Diego, CA","Washington, DC","Houston, TX","Chicago, IL","San Jose, CA","Santa Clara, CA","Atlanta, GA","San Francisco, CA","Austin, TX"
Facilities/General Labor,"Houston, TX","Phoenix, AZ","Austin, TX","Dallas, TX","Orlando, FL","Denver, CO","New York, NY","Atlanta, GA","San Antonio, TX","Indianapolis, IN"
Hospitality,"New York, NY","Dallas, TX","Houston, TX","Austin, TX","San Antonio, TX","Las Vegas, NV","Phoenix, AZ","Washington, DC","Atlanta, GA","San Francisco, CA"
Human Resources,"New York, NY","Chicago, IL","San Francisco, CA","Atlanta, GA","Los Angeles, CA","Dallas, TX","Houston, TX","Washington, DC","Boston, MA","Philadelphia, PA"
Installation/Maintenance/Repair,"Houston, TX","Dallas, TX","Atlanta, GA","Chicago, IL","Austin, TX","Denver, CO","Indianapolis, IN","Orlando, FL","Charlotte, NC","Phoenix, AZ"
Legal,"New York, NY","Washington, DC","Chicago, IL","Los Angeles, CA","San Francisco, CA","Atlanta, GA","Dallas, TX","Boston, MA","Houston, TX","Tampa, FL"
Manufacturing/Production/Construction,"Houston, TX","New York, NY","Dallas, TX","Atlanta, GA","Indianapolis, IN","Chicago, IL","Los Angeles, CA","Denver, CO","Columbus, OH","Austin, TX"
